name,description,WKT
"El Alto",,"POINT (-68.193499 -16.495577)"
"Copacabana","","POINT (-69.08489 -16.165362)"
"Puno",,"POINT (-70.028387 -15.840751)"
"Parque Arqueológico de Machupicchu",,"POINT (-72.54513 -13.163553)"
"Nevado Salkantay","","POINT (-72.547168 -13.332792)"
"Humantay Ccocha","","POINT (-72.584655 -13.379576)"
"Terminal Bimodal Santa Cruz de la Sierra","","POINT (-63.161033 -17.789131)"
"Plaza 24 de Septiembre","","POINT (-63.182116 -17.783294)"
"Montero","","POINT (-63.255787 -17.342018)"
"Terminal de Buses Cochabamba","","POINT (-66.157977 -17.402253)"
"Aeropuerto Internacional Viru Viru","","POINT (-63.137185 -17.65947)"
"Territorio reservado","","POINT (-66.13656 -17.40913)"
"Edificio","","POINT (-66.149453 -17.37541)"
"Parque Fidel Anze","","POINT (-66.150454 -17.37089)"
"Parque Fidel Anze",,"POINT (-66.147904 -17.371098)"
"Parque Fidel Anze",,"POINT (-66.15238 -17.370934)"
"Lugar desconocido",,"POINT (-66.150167 -17.370581)"
"San Pedro",,"POINT (-66.134935 -17.38429)"
"Edificio","","POINT (-66.171622 -17.383246)"
"Parque de la Autonomía","","POINT (-66.142131 -17.388947)"
"Los Castores",,"POINT (-66.158307 -17.383709)"
"Terminal de Buses de La Paz","","POINT (-68.141482 -16.488697)"
"Paris","","POINT (-66.156489 -17.39309)"
"Plaza 14 de Septiembre",,"POINT (-66.156972 -17.393805)"
"Parque Abraham Lincoln",,"POINT (-66.166587 -17.370233)"
"Parque Abraham Lincoln",,"POINT (-66.169744 -17.369957)"
"Parque Abraham Lincoln",,"POINT (-66.173464 -17.369588)"
"Ivirgarzama","","POINT (-64.857516 -17.033753)"
"Lugar desconocido",,"POINT (-67.22411 -17.622639)"
"Lugar desconocido",,"POINT (-68.139436 -16.490019)"
"Huayna Potosí","","POINT (-68.153933 -16.262402)"
"Café del Mundo","","POINT (-68.138569 -16.497477)"
"Lugar desconocido",,"POINT (-68.15231 -16.493671)"
"Megacenter","","POINT (-68.087251 -16.532265)"
"Killi Killi","","POINT (-68.127523 -16.495551)"
"Ruta de la muerte",,"POINT (-67.786146 -16.257714)"
"Lugar desconocido","","POINT (-67.739179 -16.231503)"
"Camping 2 Rios","","POINT (-67.717827 -16.153645)"
"Lugar desconocido","","POINT (-68.050891 -16.407206)"
"Plaza Murillo","","POINT (-68.133577 -16.495741)"
"Aeropuerto Internacional Teniente Coronel Juan Mendoza y Nernuldez","","POINT (-67.079257 -17.956684)"
"Uyuni","","POINT (-66.823908 -20.462841)"
"Colchani",,"POINT (-66.937819 -20.300609)"
"Rio Mulato","","POINT (-66.778702 -19.698136)"
"Sevaruyo",,"POINT (-66.862224 -19.360563)"
"Challapata",,"POINT (-66.775046 -18.902157)"
"Cabeza",,"POINT (-66.975753 -18.426038)"
"Estancia Chita Vinto",,"POINT (-66.862055 -19.967131)"
"Museo Abierto del Ferrocarril","","POINT (-66.835638 -20.480506)"
"Isla de Banderas",,"POINT (-67.047089 -20.330155)"
"Monumento al Dakar",,"POINT (-67.044995 -20.330039)"
"Lugar desconocido","","POINT (-66.97427 -20.309925)"
"Patacamaya","","POINT (-67.920253 -17.232676)"
"Konani",,"POINT (-67.517997 -17.43898)"
"Vilaque Copata",,"POINT (-68.163867 -16.850172)"
"Yapacani",,"POINT (-63.881351 -17.402064)"
"Avispas",,"POINT (-65.543357 -17.016218)"
"Bulo Bulo Airport",,"POINT (-64.3699 -17.255234)"
"Challa Grande",,"POINT (-66.642494 -17.707936)"
"San Cristobal","","POINT (-67.166284 -21.153908)"
"Lugar desconocido","","POINT (-66.972711 -20.846455)"
"Serena Vinto",,"POINT (-67.456647 -21.330089)"
"Valle de las rocas","","POINT (-67.753425 -21.400447)"
"Laguna Chulluncani","","POINT (-67.878619 -21.546892)"
"Laguna Cachi",,"POINT (-67.942232 -21.735656)"
"Laguna Kara",,"POINT (-67.86151 -21.900056)"
"Laguna Colorada","","POINT (-67.778855 -22.205675)"
"Árbol de Piedra",,"POINT (-67.882909 -22.051702)"
"Mirador Laguna Colorada","","POINT (-67.804567 -22.170408)"
"Reserva Nacional de Fauna Andina Eduardo Avaroa","","POINT (-67.814939 -22.26407)"
"Parque Nacional y Área de Manejo Integrado Cotapata","","POINT (-68.008842 -16.324053)"
"Geisers","","POINT (-67.757325 -22.434718)"
"Laguna Chalviri",,"POINT (-67.621084 -22.535365)"
"Reserva Nacional de Fauna Andina Eduardo Avaroa","","POINT (-67.638323 -22.406112)"
"Reserva Nacional de Fauna Andina Eduardo Avaroa",,"POINT (-67.597195 -22.169717)"
"Reserva Nacional de Fauna Andina Eduardo Avaroa","","POINT (-67.731259 -22.223211)"
"Vista panorámica","","POINT (-67.560706 -21.943278)"
"Villa Mar","","POINT (-67.481508 -21.755099)"
"Laguna Negra","","POINT (-67.596905 -21.594735)"
"Illimani","","POINT (-67.783662 -16.654999)"
"Huarina","","POINT (-68.601008 -16.190704)"
"Isla del Sol","","POINT (-69.168953 -16.014759)"
"Kala Kota",,"POINT (-69.075824 -16.146045)"
"Yampupata","","POINT (-69.128132 -16.064874)"
"Chacachaca","","POINT (-69.258099 -16.320267)"
"Ilave",,"POINT (-69.638964 -16.085402)"
"A Sicuani",,"POINT (-70.13657 -15.482541)"
"Melgar",,"POINT (-70.684091 -14.667652)"
"Jose Domingo Choquehuanca",,"POINT (-70.338125 -15.033591)"
"Llallahui","","POINT (-71.117551 -14.411027)"
"Plaza de Armas","","POINT (-71.978818 -13.516711)"
"Cristo Blanco","","POINT (-71.977955 -13.509559)"
"Mural Historico","","POINT (-71.974881 -13.522184)"
"El Paraíso","","POINT (-71.982101 -13.522887)"
"Cusipata","","POINT (-71.502805 -13.906639)"
"Valle Roja","","POINT (-71.308259 -13.875448)"
"Mirador Cerro Colorado",,"POINT (-71.302948 -13.869308)"
