name,description,WKT
"Campinas","","POINT (-47.060822 -22.905573)"
"Aguaí",,"POINT (-46.979369 -22.059215)"
"Capitólio",,"POINT (-46.048764 -20.614244)"
"São Sebastião do Paraíso",,"POINT (-46.98233 -20.912442)"
"Divinópolis",,"POINT (-44.891236 -20.143449)"
"Mirante dos Canyons","","POINT (-46.265755 -20.646102)"
"Formiga","","POINT (-45.426691 -20.464834)"
"Edificio","","POINT (-43.965297 -19.942876)"
"São Paulo","","POINT (-46.633385 -23.550634)"
"Palmas",,"POINT (-48.333777 -10.183562)"
"Sete Lagoas",,"POINT (-44.246948 -19.466129)"
"Igreja de São Francisco de Assis","","POINT (-43.979012 -19.858344)"
"Parque das Mangabeiras",,"POINT (-43.904252 -19.947717)"
"Monumento ao Papa João Paulo II",,"POINT (-43.914477 -19.957773)"
"Praça da Liberdade",,"POINT (-43.937966 -19.932012)"
"Instituto Inhotim",,"POINT (-44.218674 -20.124334)"
"Betim","","POINT (-44.198325 -19.968047)"
"Mercado Central","","POINT (-43.942987 -19.922599)"
"Rua Marechal Jofre","","POINT (-43.965494 -19.942898)"
"Três Marias","","POINT (-45.247305 -18.204793)"
"João Pinheiro",,"POINT (-46.175264 -17.742783)"
"Paracatu",,"POINT (-46.87075 -17.217402)"
"Unaí",,"POINT (-46.892422 -16.362867)"
"Lugar desconocido",,"POINT (-47.328082 -16.248767)"
"Agrovila Café Sem Troco",,"POINT (-47.601076 -15.942399)"
"Lugar desconocido",,"POINT (-47.636879 -15.647268)"
"Campos Belos",,"POINT (-46.768096 -13.034978)"
"São João d'Aliança",,"POINT (-47.521031 -14.704793)"
"Catarata dos Couros Principal","","POINT (-47.757852 -14.278128)"
"Cachoeira da Muralha","","POINT (-47.750805 -14.276693)"
"Catarata dos Couros 1",,"POINT (-47.75065 -14.277161)"
"Lugar desconocido","","POINT (-47.514126 -14.283181)"
"Lugar desconocido","","POINT (-47.517561 -14.168189)"
"Vale da Lua","","POINT (-47.789424 -14.186763)"
"Morro da Baleia",,"POINT (-47.657878 -14.12733)"
"Jardim de Maytrea","","POINT (-47.68309 -14.132012)"
"Morada do Sol",,"POINT (-47.849071 -14.212079)"
"Mirante da Trilha da Janela",,"POINT (-47.851144 -14.175963)"
"Cachoeira das Esmeraldas",,"POINT (-47.483392 -14.14838)"
"Cachoeira Santa Bárbara","","POINT (-47.492798 -13.539734)"
"Mirante da Nova Aurora","","POINT (-47.465738 -13.692012)"
"Príncipe","","POINT (-47.614431 -11.938026)"
"Miranorte",,"POINT (-48.592222 -9.5290688)"
"Chuva de Manga",,"POINT (-47.202264 -12.431463)"
"Silvanópolis",,"POINT (-48.169369 -11.147099)"
"Colinas do Tocantins",,"POINT (-48.471664 -8.0612488)"
"Guaraí",,"POINT (-48.511447 -8.8354398)"
"Paciencia",,"POINT (-48.184197 -8.0740179)"
"Bielândia",,"POINT (-47.860795 -7.484837)"
"Lugar desconocido",,"POINT (-48.046581 -7.8100893)"
"Portal da Chapada das Mesas","","POINT (-47.426186 -7.1892999)"
"Filadélfia","","POINT (-47.496371 -7.339583)"
"Lugar desconocido","","POINT (-47.472252 -7.336396)"
"Pedra Caida",,"POINT (-47.442579 -7.0440993)"
"Itapecuruzinho",,"POINT (-47.215069 -7.4158872)"
"Poço Azul",,"POINT (-46.45367 -7.2245664)"
"Encanto Azul",,"POINT (-46.413716 -7.2353562)"
"Lugar desconocido",,"POINT (-47.372574 -6.3495501)"
"Grajaú",,"POINT (-46.136125 -5.8153835)"
"Barra do Corda","","POINT (-45.248507 -5.4968365)"
"Presidente Dutra","","POINT (-44.485844 -5.307583)"
"Peritoró",,"POINT (-44.331749 -4.3723646)"
"Miranda do Norte",,"POINT (-44.580912 -3.5653448)"
"São Luís","","POINT (-44.244888 -2.5634436)"
"Benedicto Leite Maranhao","","POINT (-44.304529 -2.5284231)"
"Vista panorámica",,"POINT (-44.30723 -2.5275683)"
"Lugar desconocido",,"POINT (-44.174182 -2.4784557)"
