name,description,WKT
"Laguna de la Cocha","","POINT (-77.150821 1.0771507)"
"Ipiales","","POINT (-77.640206 0.82786334)"
"Santuario de las Lajas","","POINT (-77.586161 0.80545307)"
"Pasto","","POINT (-77.278249 1.2146495)"
"Consacá","","POINT (-77.465615 1.2082793)"
"Bomboná","","POINT (-77.463805 1.1973222)"
"Buga","","POINT (-76.302014 3.9000591)"
"Popayán","","POINT (-76.606066 2.4418518)"
"Tuluá","","POINT (-76.19714 4.0864454)"
"Armenia","","POINT (-75.672357 4.5363195)"
"La Tebaida","","POINT (-75.788731 4.4512189)"
"Salento","","POINT (-75.569798 4.6373004)"
"Santa Rosa de Cabal","","POINT (-75.621227 4.8648788)"
"Pereira","","POINT (-75.69463 4.814298)"
"Hotel Termales San Vicente","","POINT (-75.533666 4.8479293)"
"Medellín","","POINT (-75.573565 6.2443381)"
"Guatapé","","POINT (-75.16175 6.2342274)"
"El Peñol","","POINT (-75.243204 6.2187923)"
"Piedra del Peñol","","POINT (-75.179432 6.2200242)"
"Cañasgordas","","POINT (-76.026165 6.7519859)"
"Apartadó","","POINT (-76.622747 7.8849017)"
"Mutatá","","POINT (-76.436543 7.2440678)"
"Turbo","","POINT (-76.725476 8.0927847)"
"Capurganá","","POINT (-77.347193 8.6366005)"
"La Miel","","POINT (-77.370907 8.6645122)"
"Sapzurro","","POINT (-77.365561 8.6612295)"
"Necoclí","","POINT (-76.781488 8.4233895)"
"Cartagena","","POINT (-75.527131 10.419592)"
"Riohacha","","POINT (-72.906977 11.544639)"
"4 Via","","POINT (-72.406417 11.414544)"
"Uribia","","POINT (-72.265783 11.714862)"
"Cabo de la Vela","","POINT (-72.145862 12.197838)"
"Cerro Pilón de Azúcar","","POINT (-72.142761 12.23819)"
"Faro","","POINT (-72.179244 12.20969)"
"Bogotá","","POINT (-74.07612 4.5980924)"
"Fátima","","POINT (-74.069735 4.5984704)"
"Cerro de Monserrate","","POINT (-74.05431 4.6072531)"
"Zipaquirá","","POINT (-74.001148 5.0251535)"
"Parque Nacional Natural Tayrona","","POINT (-74.04338 11.321962)"
"Playa Cristal o Playa del Muerto","","POINT (-74.076888 11.328326)"
"San Andrés","","POINT (-81.720218 12.53274)"
"Riosucio","","POINT (-75.703041 5.4209645)"
"Montería","","POINT (-75.887019 8.7558775)"
"Bucaramanga","","POINT (-73.132025 7.1374523)"
"Floridablanca","","POINT (-73.085823 7.0625357)"
"Estación Cerro del Santísimo","","POINT (-73.068697 7.0818152)"
"Panachi","","POINT (-73.003683 6.7920049)"
"Teleferico Mesa de Los Santos - Panachi","","POINT (-73.04883 6.8071633)"
"Universidad Industrial de Santander","","POINT (-73.119435 7.1406813)"
"Parque de Atracciones Salitre Mágico","","POINT (-74.090739 4.667857)"
"Centro Comercial Gran Estación","","POINT (-74.101543 4.6475235)"
"Santa Fe de Antioquia","","POINT (-75.827775 6.5564007)"
"Chigorodo 2","","POINT (-76.648743 7.6228436)"
"Hospedaje Hector's House","","POINT (-77.346764 8.6363804)"
