name,description,WKT
"Tulcán","","POINT (-77.71693 0.81199567)"
"Ibarra","","POINT (-78.117357 0.34784165)"
"Quito","","POINT (-78.512323 -0.2201768)"
"Guayaquil","","POINT (-79.887717 -2.1898874)"
"Salinas","","POINT (-80.968454 -2.2072982)"
"Ayangue","","POINT (-80.753542 -1.9776601)"
"Montañita","","POINT (-80.752907 -1.8281665)"
"Puerto López","","POINT (-80.811266 -1.559055)"
"Isla de La Plata","","POINT (-81.072339 -1.2698001)"
"Puerto Cayo","","POINT (-80.73791 -1.3511892)"
"Manta","","POINT (-80.718386 -0.95111072)"
"Gómez Rendón","","POINT (-80.364574 -2.4079054)"
"La Chocolatera","","POINT (-81.010715 -2.1894921)"
"Rumichaca","","POINT (-77.664651 0.81348817)"
