name,description,WKT
"Madrid","","POINT (-3.7035733 40.416718)"
"Zaragoza",,"POINT (-0.8809449 41.652124)"
"Donostia / San Sebastián",,"POINT (-1.9838692 43.322419)"
"Pamplona / Iruña","","POINT (-1.6442372 42.818467)"
"Bordeaux","","POINT (-0.5800225 44.841223)"
"Arcachon",,"POINT (-1.1755708 44.653943)"
"Dune du Pilat",,"POINT (-1.2246365 44.576842)"
"Bergerac",,"POINT (0.48753994 44.853454)"
"Paris",,"POINT (2.3514821 48.856602)"
"München",,"POINT (11.575364 48.1371)"
"Praha",,"POINT (14.421253 50.087455)"
"Nürnberg","","POINT (11.077288 49.453861)"
"Dresden",,"POINT (13.738126 51.049317)"
"Děčín","","POINT (14.214701 50.782406)"
"Schöna",,"POINT (14.235008 50.875246)"
"Venezia",,"POINT (12.33458 45.437178)"
"Pisa",,"POINT (10.401844 43.715927)"
"Firenze",,"POINT (11.255559 43.769874)"
"Bologna","","POINT (11.343021 44.493678)"
"Roma","","POINT (12.485341 41.894791)"
"Hof","","POINT (11.917872 50.321893)"
"Chemnitz",,"POINT (12.925309 50.832252)"
"Garmisch-Partenkirchen","","POINT (11.103982 47.493825)"
"Guadalajara","","POINT (-3.1645994 40.632702)"
"Calatayud","","POINT (-1.642306 41.352769)"
"Alcolea del Pinar","","POINT (-2.4673495 41.035923)"
"Irun","","POINT (-1.7888096 43.338317)"
"Miroir d'Eau","","POINT (-0.56908311 44.841692)"
"Porte de Bourgogne","","POINT (-0.56625607 44.836333)"
"Stars Bordeaux Gare Saint Jean","","POINT (-0.5589685 44.829421)"
"Tour Eiffel 3e étage","","POINT (2.2944972 48.858262)"
"Arc de Triomphe",,"POINT (2.2950256 48.873785)"
"Tours de la Cathédrale",,"POINT (2.3493028 48.853366)"
"Gare d'Austerlitz",,"POINT (2.3656106 48.842373)"
"Jardin des Plantes",,"POINT (2.3625797 48.84659)"
"Pilsen","","POINT (13.377508 49.747741)"
"Zwickau","","POINT (12.493924 50.718516)"
"Stadt Wehlen (Sachs)","","POINT (14.032233 50.953717)"
"Ferienwohnungen Langer","","POINT (14.033909 50.954422)"
"Kurort Rathen","","POINT (14.076574 50.956467)"
"Basteiaussicht",,"POINT (14.071903 50.961783)"
"Hřensko",,"POINT (14.240254 50.873928)"
"Pravčická brána",,"POINT (14.270273 50.880804)"
"NPP Pravčická brána",,"POINT (14.2808 50.884606)"
"Pirna","","POINT (13.938664 50.961692)"
"Krippen",,"POINT (14.160201 50.913141)"
"Grosseto",,"POINT (11.113724 42.759731)"
"Tarquinia",,"POINT (11.726829 42.23962)"
"Cecina",,"POINT (10.517345 43.311345)"
"Labouheyre",,"POINT (-0.91899606 44.212544)"
"Bayonne",,"POINT (-1.4751078 43.493332)"
"Castets",,"POINT (-1.1457956 43.882824)"
"AlpspiX","","POINT (11.050292 47.439428)"
"Kreuzeck-/Alpspitzbahn",,"POINT (11.062864 47.47204)"
"Segelflugzentrum Ohlstadt",,"POINT (11.235043 47.658739)"
"Hendaye","","POINT (-1.7616496 43.364152)"
"Poitiers","","POINT (0.34021156 46.580269)"
"Tours",,"POINT (0.68894165 47.390059)"
"Orléans",,"POINT (1.9085957 47.902726)"
"Reims",,"POINT (4.0319186 49.257797)"
"Strasbourg",,"POINT (7.7507051 48.584604)"
"Stuttgart",,"POINT (9.180001 48.77844)"
"Augsburg",,"POINT (10.898718 48.366818)"
"Cheminot",,"POINT (6.1398489 48.947013)"
"Tudela",,"POINT (-1.6053559 42.06397)"
"Regensburg",,"POINT (12.097488 49.019533)"
"Deggendorf",,"POINT (12.962045 48.833358)"
"Edificio","","POINT (12.959228 48.827991)"
"Plattling","","POINT (12.864327 48.779531)"
"Marktredwitz",,"POINT (12.085644 50.000991)"
"Hüttenhof","","POINT (11.99616 49.421959)"
"Weiden in der Oberpfalz","","POINT (12.163176 49.675284)"
"Oberau",,"POINT (11.133001 47.562001)"
"Tutzing",,"POINT (11.279806 47.908652)"
"Uffing am Staffelsee",,"POINT (11.153066 47.71345)"
"Weilheim in Oberbayern",,"POINT (11.141635 47.839507)"
"Starnberg Nord",,"POINT (11.347366 48.006236)"
"Landshut",,"POINT (12.151674 48.536206)"
"Ústí nad Labem",,"POINT (14.040894 50.668441)"
"Lovosice",,"POINT (14.050971 50.515306)"
"Letiště Sazená",,"POINT (14.260581 50.32418)"
"Letiště Hořovice",,"POINT (13.893222 49.84785)"
"Přimda",,"POINT (12.674614 49.67522)"
"Ulm",,"POINT (9.9932897 48.397401)"
"Innsbruck","","POINT (11.392759 47.265416)"
"Trento",,"POINT (11.12574 46.066432)"
"Bolzano - Bozen",,"POINT (11.354779 46.498116)"
"Parque del Retiro","","POINT (-3.682712 40.414864)"
"La puerta de Alcalá",,"POINT (-3.6887095 40.419983)"
"Museo de la Biblioteca Nacional de España",,"POINT (-3.689498 40.424028)"
"Palacio Real de Madrid",,"POINT (-3.7134072 40.417296)"
"Parque de Atenas",,"POINT (-3.7186939 40.414864)"
"Litoranea/Cancello 2","","POINT (12.380813 41.682727)"
"Halle (Saale)","","POINT (11.970529 51.482497)"
