name,description,WKT
"Chapultepec","","POINT (-99.183406 19.422942)"
"Angel de la Independencia","","POINT (-99.167685 19.427019)"
"Indios Verdes","","POINT (-99.119711 19.496781)"
"Posada Rocio","","POINT (-93.018469 16.710347)"
"Casa Monad","","POINT (-92.633113 16.73913)"
"New ADO Bus Station","","POINT (-91.990169 17.508398)"
"Zona Arqueologica Palenque","","POINT (-92.04565 17.48426)"
"La Casa del Tio Rafa","","POINT (-89.632354 20.966959)"
"Terminal ADO Mérida CAME","","POINT (-89.630969 20.962264)"
"Ikaro Beds","","POINT (-86.830698 21.162178)"
"Chichen Itzá","","POINT (-88.569564 20.682732)"
"Casa 244","","POINT (-87.074956 20.6346)"
"Gran Puerto","","POINT (-86.807237 21.183755)"
"Aeropuerto internacional de Cancun","","POINT (-86.875977 21.040807)"
"Playa Del Carmen - Cancun Colectivo","","POINT (-87.077175 20.624994)"
"Cenote Dos Ojos","","POINT (-87.390607 20.324734)"
"Santa Fe","","POINT (-87.43114 20.207851)"
"Zona Arqueologica Tulum","","POINT (-87.42952 20.215845)"
"Bahia Akumal","","POINT (-87.314814 20.395507)"
"Isla Mujeres","","POINT (-86.74611 21.25671)"
"Valladolid","","POINT (-88.201708 20.690269)"
"Leona Vicario","","POINT (-87.205532 20.988419)"
"Misol-ha","","POINT (-92.042914 17.362985)"
"San Cristóbal de Las Casas","","POINT (-92.63873 16.735377)"
"Plaza Ángel Albino Corzo","","POINT (-93.016843 16.708188)"
"Tuxtla Gutiérrez","","POINT (-93.115944 16.753819)"
"Villahermosa","","POINT (-92.917503 17.995695)"
"Policia Federal","","POINT (-92.019618 17.708667)"
"Lugar desconocido","","POINT (-92.026995 17.619895)"
"Gasolinera","","POINT (-92.628701 17.74057)"
"Campeche","","POINT (-90.536216 19.84425)"
"Lugar desconocido","","POINT (-92.355261 17.684658)"
"Heroica Cárdenas","","POINT (-93.376311 17.991205)"
"Chontalpa","","POINT (-93.47641 17.668396)"
"Pirámide de Sol","","POINT (-98.84354 19.692408)"
"Pirámide de la Luna","","POINT (-98.843952 19.69957)"
"Museo de Sitio Teotihuacán","","POINT (-98.844044 19.690324)"
"Palacio de Bellas Artes","","POINT (-99.141267 19.435502)"
"Torre Latinoamericana","","POINT (-99.140666 19.433869)"
"Museo Nacional de Antropología","","POINT (-99.18627 19.426288)"
"Zoológico de Chapultepec","","POINT (-99.189497 19.422514)"
"Lago de Chapultepec","","POINT (-99.185777 19.423096)"
"Castillo de Chapultepec","","POINT (-99.181802 19.420479)"
"Ciudad de México","","POINT (-99.133342 19.432602)"
